"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"Reward Points Notifications","Notificaciones de puntos de recompensa"
"Reward Points Rates","Tarifas de puntos de recompensa"
"Reward Points refunded to customer","Puntos de recompensa devueltos al cliente"
"Reward Points Threshold","Umbral de puntos de recompensa"
"Reward Voucher Redemption","Realizar canje de vales"
"Risk Factor","Factor de riesgo"
"Risk Factor Q","Factor de riesgo Q"
"Risk Factor V","Factor de riesgo V"
"Risk Score","Calificación de riesgo"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Orden de riesgo. La información de transacción, cliente y comerciante muestran correlaciones múltiples de alto riesgo"
"RMA Admin Comments","Comentarios de Admin RMA"
"RMA Authorization","Autorización RMA"
"RMA Authorization Email Sender","Remitente de email de autorización RMA"
"RMA Authorization Email Template","Plantilla de email de autorización RMA"
"RMA Authorization Email Template for Guest","Plantilla de correo electrónico de autorización de RMA para los huéspedes"
"RMA Comment Email Recipient","Destinatario de Correo de Comentario RMA"
"RMA Comment Email Sender","Remitente de Correo de Comentario RMA"
"RMA Comment Email Template","Plantilla de email de comentario RMA"
"RMA Comment Email Template for Guest","Plantilla de email comentario del pedido RMA para visitante"
"RMA Customer Comments","Comentarios de clientes RMA"
"RMA Email Sender","RMA Email del remitente"
"RMA Email Template","Plantilla de email RMA"
"RMA Email Template for Guest","Plantilla de email RMA para los visitante"
"RMA History","Historia RMA"
"RMA Item Details","Detalles del artículo RMA"
"Rma Item Eav Attributes","Atrubutos Eav de artículo Rma"
"RMA Items Requested for","Artículos RMA solicitados para"
"RMA Settings","Configuración de RMA"
"RMA Totals","Totales RMA"
Role,Perfil
"Role Info","Información de la función"
"Role Information","Información de funciones"
"Role Name","Nombre de la función"
"Role Resources","Recursos de la función"
"Role Scopes","Alcance del role"
"Role Users","Funciones del usuario"
Roles,Funciones
"Roles Resources","Funciones de recursos"
Rollback,Restaurar
Root,Raíz
"Root Category","Categoría raíz"
"Rotation Mode","Modo rotación"
"Row Subtotal","Subtotal de la fila"
"Row Total","Fila total"
"Row total in cart","Total de filas en el carrito"
"row weight","peso de la fila"
"RPC call failed, connection timed out after %time_out.","Error en la llamada RPC, se ha agotado el tiempo de espera después de %time_out."
"Rss Config","Configuración de RSS"
"RSS Feed","Fuente RSS"
"RSS Feeds","Fuentes RSS"
"RSS Feeds Section","Sección de fuentes RSS"
"RSS link to %1's wishlist","Enlace RSS a la lista de deseos de %1"
Rule,Regla
"Rule Description for All Store Views","Descripción de la regla para todos los Store Views"
"Rule Information","Información sobre la regla"
"Rule is not defined","Regla no definida"
"Rule Name","Nombre de la regla"
"Rule price","Precio de la regla"
"Rule Title for All Store Views","Regla de título para todas las vistas de la tienda"
"Rule with specified ID ""%1"" not found.","Regla con la ID especificada ""%1"" no encontrada."
"Rule-Based Only","Sólo basado en regla"
"Rule-based Positions","Posiciones basadas en reglas"
"Rule-Based Product Relations","Relaciones de producto basada en reglas"
"Rule-based Settings","Configuración basada en reglas"
Run,Ausführen
"Run Class","Ejecutar la clase"
"Run Method","Método de ejecución"
"Run Now","Ejecutar ahora"
Sale,Venta
"Sale Ends In","La venta termina en"
Sales,Ventas
"Sales Amount","Importe de ventas"
"Sales Archive","Archivo de Ventas"
"Sales Credit Memos","Notas de crédito de ventas"
"Sales Discount","Descuento de ventas"
"Sales Emails","Correos de Ventas"
"Sales Emails Section","Sección de emails de ventas"
"Sales Invoices","Facturas de venta"
"Sales Items","Artículos vendidos"
"Sales Order Status","Estado de pedido de ventas"
"Sales Orders","Pedidos de ventas"
"Sales Report","Informe de ventas"
"Sales Representative","Representante de ventas"
"Sales Representative Contact Email","Correo electrónico de contacto del agente de ventas"
"Sales Representative Contact Name","Nombre de contacto del agente de ventas"
"Sales Rule","Regla de ventas"
"Sales Section","Sección de ventas"
"Sales Shipments","Envíos de ventas"
"Sales Shipping",Envíos
"Sales Statistics","Estadísticas de Ventas"
"Sales Subtotal","Subtotal de ventas"
"Sales Tax","Impuesto de Ventas"
"Sales Total",Total
"Same As Billing Address","La misma dirección que la de facturación"
"Same as Inviter","Igual que el invitante"
"Same day","El mismo día"
sample,Muestra
Sample,Ejemplo
"Sample file not provided","Archivo muestra no proporcionado"
"Sample title cannot be empty.","Título de la muestra no puede estar vacío."
"Sample URL must have valid format.","Muestra URL debe tener formato válido."
"Sandbox API Key","Clave de API de Sandbox"
"Sandbox Mode","Modo de prueba"
Save,Guardar
"Save & Activate","Guardar y activar"
"Save & Close","Guardar y cerrar"
"Save & Duplicate","Guardar y Duplicar"
"Save & Edit","Guardar y editar"
"Save & Generate","Guardar y generar"
"Save & New","Guardar y nuevo"
"Save & Send Email","Guardar y enviar correo electrónico"
"Save Account","Guardar Cuenta"
"Save Address","Guardar dirección"
"Save and Apply","Guardar y aplicar"
"Save and Close","Guardar y Cerrar"
"Save and Continue","Guardar y Continuar"
"Save and Continue Edit","Guardar y continuar editando"
"Save and Next","Guardar y Siguiente"
"Save and Previous","Guardar y Previo"
"Save and Resume","Guardar y reanudar"
"Save As","Guardar como"
"Save as a New Update","Guardar como una nueva actualización"
"Save Attribute","Guardar atributo"
"Save Banner","Guardar Banner"
"Save Block","Block speichern"
"Save Cache Settings","Guardar la configuración de caché"
"Save Condition","Guardar condición"
"Save Config","Guardar configuración"
"Save Configuration","Guardar configuración"
"Save credit card information for future use.","Guarde la información de su tarjeta de crédito para usarla en el futuro."
"Save Currency Rates","Guardar los Tipos de Cambio"
"Save Currency Symbols","Guardar símbolos de divisas"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save file content","Guardar el contenido del archivo"
"Save Files, Days","Guardar archivos, días"
"Save for later use.","Guardar para uso posterior."
"Save Gift Message","Guardar mensaje de regalo"
"Save history file content ""%1""","Guardar el contenido del archivo historial ""%1"""
"Save in address book","Guardar en libreta de direcciones"
"Save in New Attribute Set","Guardar el conjunto de atributos"
"Save Invitation","Guardar invitación"
"Save Newsletter","Guardar el boletín informativo"
"Save Option","Opción de guardar"
"Save Order Address","Guardar dirección para el pedido"
"Save Page","Seite speichern"
"Save Rate","Guardar tarifa"
"Save Rating","Guardar puntuación"
"Save Review","Guardar reseña"
"Save Role","Guardar Función"
"Save Rule","Guardar regla"
"Save Search","Guardar búsqueda"
"Save Status","Guardar estado"
"Save Status Assignment","Guardar la asignación del estado"
"Save Store","Guardar la tienda"
"Save Store View","Guardar vista de tienda"
"Save Subscription Settings","Guardar configuración de suscripción"
"Save Synonym Group","Guardar grupo de sinónimos"
"Save Template","Guardar la plantilla"
"Save User","Guardar usuario"
"Save Warehouse","Guardar el almacén"
"Save Web Site","Guardar sitio Web"
Schedule,Programa
"Schedule Ahead for","Programar con anticipación"
"Schedule Design Update","Programar actualización de diseño"
"Schedule Id","ID de Programa"
"Schedule New Update","Programar nueva actualización"
"Schedule Update From","Programa actualización desde"
"Scheduled At","Programado en"
"Scheduled Backup Settings","Configuración de copia de seguridad programada"
"Scheduled Changes","Cambios programados"
"Scheduled Export","Exportación programada"
"Scheduled Fetching","Compra programada"
"Scheduled Import","Importación programada"
"Scheduled Import Settings","Configuración de la importación programada"
"Scheduled Import/Export","Importación y exportación programada"
"Scheduled Imports/Exports","Importaciones y exportaciones programadas"
Scope,Alcance
Scope:,Alcance:
"Scripts and Style Sheets","Scripts y hojas de estilo"
Scroll,Desplazar
Search,Buscar
"Search All Products","Buscar artículos"
"Search By","Buscar por"
"Search by keyword","Buscar por palabra clave"
"Search Engine","Motor de búsqueda"
"Search Engine Optimisation","Optimización de los motores de búsqueda"
"Search Engine Optimization","Optimización de los motores de búsqueda"
"Search Engine Robots","Robots de motores de búsqueda"
"Search Engine Submission Settings","Configuración de inscripción a motores de búsqueda"
"Search entire store here...","Busque aquí por toda la tienda..."
"Search Index","Índice de Búsqueda"
"Search Information","Información de búsqueda"
"Search Options","Opciones de búsqueda"
"Search Query","Consulta de búsqueda"
"Search Recommendations Count","Conteo de las recomendaciones de búsqueda"
"Search Results","Resultados de Búsqueda"
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Search Settings","Ajustes de búsqueda"
"Search String","Cadena de búsqueda"
"Search Suggestions Count","Conteo de sugerencias de búsqueda"
"Search Synonyms","Buscar sinónimos"
"Search Term","Término de búsqueda"
"Search Terms","Términos de búsqueda"
"Search Terms Report","Informe de términos de búsqueda"
"Search Weight","Buscar peso"
Searchable,Buscable
Sec,Seg
"Secret Key","Geheimer Schlüssel"
Section,Sección
"Secure Base Link URL","URL base de Enlaces Segura"
"Secure Base URL","URL Base segura"
"Secure Base URL for Static View Files","URL Base segura para los archivos de vista estática"
"Secure Base URL for User Media Files","URL base segura para los archivos multimedia del usuario"
"Secure Gateway URL","URL de Gateway seguro"
Security,Seguridad
"Security validation of XML document has been failed.","Validación de seguridad de documento XML ha sido fallado."
"See All (","Ver todos ("
"See Balance","Ver Saldo"
"See Details","Ver información"
"see error log for details","ver registro de errores para obtener más información"
"See order and shipping status","Ver estado de orden y envío"
"See our Shipping Policy","Ver nuestra política de envíos"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Ver detalles de compatibilidad con la función PayPal y lista de regiones compatibles <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank""> aquí</a>."
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"See terms","Ver términos"
Segment,Segmento
"Segment Customers matching error","Error en coincidencia de Segmento de Clientes"
"Segment Information","Información de segmento"
"Segment Name","Nombre de segmento"
Segments,Segmentos
Select,Seleccionar
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Seleccione ""Sí"" para agregar este atributo a la lista de opciones de la columna en la cuadrícula de producto."
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Seleccione ""Sí"" para agregar este atributo a la lista de opciones de la columna en la cuadrícula de producto."
